Name,NBA Team,Height (cm),Number of Trophies Won,Number of Baskets Made,Years of Experience
LeBron James,Los Angeles Lakers,206,4,14837,21
Michael Jordan,Chicago Bulls,198,6,12192,15
Kareem Abdul-Jabbar,Los Angeles Lakers,218,6,15837,20
Stephen Curry,Golden State Warriors,188,4,8084,15
Kobe Bryant,Los Angeles Lakers,198,5,11719,20
Kevin Durant,Phoenix Suns,211,2,9898,16
Giannis Antetokounmpo,Milwaukee Bucks,211,1,6241,11
Shaquille O'Neal,Los Angeles Lakers,216,4,11330,19
Tim Duncan,San Antonio Spurs,211,5,10285,19
Nikola Jokic,Denver Nuggets,211,1,5412,9
Luka Doncic,Dallas Mavericks,201,0,3845,6
Magic Johnson,Los Angeles Lakers,206,5,6211,13
Larry Bird,Boston Celtics,206,3,8591,13
Bill Russell,Boston Celtics,208,11,5687,13
Wilt Chamberlain,Philadelphia 76ers,216,2,12681,14
James Harden,Los Angeles Clippers,196,0,7632,15
Kawhi Leonard,Los Angeles Clippers,201,2,4812,12
Joel Embiid,Philadelphia 76ers,213,0,3612,8
Anthony Davis,Los Angeles Lakers,208,1,6012,12
Damian Lillard,Milwaukee Bucks,188,0,6823,12
Jayson Tatum,Boston Celtics,203,1,4120,7
Jimmy Butler,Miami Heat,201,0,4810,13
Dirk Nowitzki,Dallas Mavericks,213,1,11169,21
Hakeem Olajuwon,Houston Rockets,213,2,10749,18
Kevin Garnett,Boston Celtics,211,1,10505,21
Dwyane Wade,Miami Heat,193,3,8454,16
Chris Paul,Golden State Warriors,183,0,7892,19
Russell Westbrook,Los Angeles Clippers,193,0,9012,16
Kyrie Irving,Dallas Mavericks,188,1,5910,13
Anthony Edwards,Minnesota Timberwolves,193,0,2310,4
